frame,time_ns,W336_delta_deg,W336_cumul_deg,W336_cumul_rot,F339_delta_deg,F339_cumul_deg,F339_cumul_rot,F340_delta_deg,F340_cumul_deg,F340_cumul_rot,F234_delta_deg,F234_cumul_deg,F234_cumul_rot,F243_delta_deg,F243_cumul_deg,F243_cumul_rot,Y370_delta_deg,Y370_cumul_deg,Y370_cumul_rot,Psilocin_delta_deg,Psilocin_cumul_deg,Psilocin_cumul_rot
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,11.67,11.7,0.0324,14.18,14.2,0.0394,2.02,2.0,0.0056,15.04,15.0,0.0418,12.22,12.2,0.034,21.78,21.8,0.0605,6.54,6.5,0.0182
2,0.2,18.53,30.2,0.0839,11.38,25.6,0.071,4.93,7.0,0.0193,47.6,62.6,0.174,5.81,18.0,0.0501,11.29,33.1,0.0919,8.77,15.3,0.0425
3,0.30000000000000004,9.19,39.4,0.1094,0.85,26.4,0.0734,9.09,16.0,0.0446,28.31,90.9,0.2526,10.79,28.8,0.0801,3.14,36.2,0.1006,6.74,22.1,0.0613
4,0.4,14.57,54.0,0.1499,16.15,42.6,0.1182,3.47,19.5,0.0542,34.93,125.9,0.3496,21.08,49.9,0.1386,5.77,42.0,0.1166,3.93,26.0,0.0722
5,0.5,11.63,65.6,0.1822,20.9,63.5,0.1763,11.25,30.8,0.0854,33.13,159.0,0.4417,22.28,72.2,0.2005,2.17,44.1,0.1226,17.0,43.0,0.1194
6,0.6000000000000001,9.87,75.5,0.2096,23.66,87.1,0.242,13.44,44.2,0.1228,23.62,182.6,0.5073,6.25,78.4,0.2179,12.49,56.6,0.1573,25.62,68.6,0.1906
7,0.7000000000000001,9.0,84.5,0.2346,14.09,101.2,0.2811,3.42,47.6,0.1323,24.26,206.9,0.5747,5.58,84.0,0.2334,4.55,61.2,0.17,15.55,84.2,0.2338
8,0.8,5.59,90.1,0.2502,20.85,122.1,0.339,17.27,64.9,0.1802,44.02,250.9,0.6969,3.05,87.1,0.2419,17.81,79.0,0.2194,7.53,91.7,0.2547
9,0.9,11.34,101.4,0.2817,13.5,135.6,0.3765,18.06,82.9,0.2304,73.98,324.9,0.9024,4.74,91.8,0.255,15.01,94.0,0.2611,9.7,101.4,0.2816
10,1.0,5.88,107.3,0.298,14.13,149.7,0.4158,7.89,90.8,0.2523,13.39,338.3,0.9396,13.66,105.5,0.293,7.82,101.8,0.2828,9.62,111.0,0.3083
11,1.1,3.08,110.4,0.3066,11.72,161.4,0.4483,4.94,95.8,0.266,67.03,405.3,1.1258,36.02,141.5,0.3931,6.24,108.1,0.3002,15.82,126.8,0.3523
12,1.2000000000000002,23.82,134.2,0.3727,16.87,178.3,0.4952,7.46,103.2,0.2868,33.75,439.1,1.2196,28.06,169.6,0.471,2.7,110.8,0.3077,5.19,132.0,0.3667
13,1.3,13.49,147.7,0.4102,23.65,201.9,0.5609,17.39,120.6,0.3351,53.09,492.1,1.3671,5.27,174.8,0.4856,5.52,116.3,0.323,2.81,134.8,0.3745
14,1.4000000000000001,7.77,155.4,0.4318,12.6,214.5,0.5959,13.82,134.5,0.3735,6.33,498.5,1.3847,5.83,180.7,0.5018,23.22,139.5,0.3875,7.73,142.5,0.396
15,1.5,22.45,177.9,0.4942,17.28,231.8,0.6439,7.18,141.6,0.3934,20.09,518.6,1.4405,14.07,194.7,0.5409,5.28,144.8,0.4022,8.38,150.9,0.4193
16,1.6,28.33,206.2,0.5728,16.16,248.0,0.6888,15.88,157.5,0.4375,17.36,535.9,1.4887,18.21,212.9,0.5915,13.94,158.7,0.4409,10.0,160.9,0.447
17,1.7000000000000002,16.03,222.3,0.6174,8.18,256.1,0.7115,3.55,161.1,0.4474,3.15,539.1,1.4975,16.04,229.0,0.6361,27.77,186.5,0.518,7.72,168.6,0.4685
18,1.8,15.53,237.8,0.6605,9.58,265.7,0.7381,9.55,170.6,0.4739,4.8,543.9,1.5108,2.85,231.8,0.644,16.52,203.0,0.5639,9.0,177.6,0.4935
19,1.9000000000000001,12.17,249.9,0.6943,12.51,278.2,0.7729,16.34,186.9,0.5193,42.54,586.4,1.629,8.31,240.1,0.667,15.35,218.4,0.6066,13.72,191.4,0.5316
20,2.0,10.91,260.9,0.7246,4.39,282.6,0.7851,8.71,195.6,0.5435,34.19,620.6,1.7239,8.02,248.2,0.6893,21.62,240.0,0.6666,12.74,204.1,0.567
21,2.1,14.03,274.9,0.7636,6.8,289.4,0.804,5.94,201.6,0.56,41.4,662.0,1.8389,18.58,266.7,0.7409,7.74,247.7,0.6881,13.78,217.9,0.6052
22,2.2,10.86,285.7,0.7937,2.96,292.4,0.8122,7.51,209.1,0.5808,42.43,704.4,1.9568,16.41,283.2,0.7865,11.6,259.3,0.7203,3.7,221.6,0.6155
23,2.3000000000000003,24.71,310.5,0.8624,20.48,312.9,0.8691,7.99,217.1,0.603,10.34,714.8,1.9855,5.79,288.9,0.8026,15.42,274.7,0.7632,11.57,233.2,0.6477
24,2.4000000000000004,10.03,320.5,0.8902,14.43,327.3,0.9092,12.81,229.9,0.6386,9.0,723.8,2.0105,4.53,293.5,0.8152,7.74,282.5,0.7847,0.41,233.6,0.6488
25,2.5,17.34,337.8,0.9384,13.38,340.7,0.9463,5.21,235.1,0.6531,14.33,738.1,2.0503,6.24,299.7,0.8325,15.5,298.0,0.8277,7.66,241.2,0.6701
26,2.6,0.78,338.6,0.9406,14.89,355.6,0.9877,3.86,239.0,0.6638,3.41,741.5,2.0598,13.53,313.2,0.8701,15.36,313.3,0.8704,9.2,250.4,0.6956
27,2.7,14.62,353.2,0.9812,10.76,366.3,1.0176,7.01,246.0,0.6833,15.15,756.7,2.1019,7.96,321.2,0.8922,7.89,321.2,0.8923,31.23,281.7,0.7824
28,2.8000000000000003,12.68,365.9,1.0164,10.96,377.3,1.0481,9.16,255.1,0.7087,25.56,782.2,2.1729,10.61,331.8,0.9217,5.25,326.5,0.9069,6.88,288.5,0.8015
29,2.9000000000000004,7.77,373.7,1.038,6.4,383.7,1.0658,3.87,259.0,0.7195,21.99,804.2,2.234,17.39,349.2,0.97,5.99,332.5,0.9235,18.15,306.7,0.8519
30,3.0,14.1,387.8,1.0772,8.61,392.3,1.0897,12.94,271.9,0.7554,13.26,817.5,2.2708,10.33,359.5,0.9987,3.84,336.3,0.9342,17.04,323.7,0.8992
31,3.1,1.79,389.6,1.0821,6.02,398.3,1.1064,8.19,280.1,0.7781,5.34,822.8,2.2856,22.37,381.9,1.0608,12.89,349.2,0.97,27.47,351.2,0.9755
32,3.2,13.92,403.5,1.1208,11.82,410.1,1.1393,19.13,299.3,0.8313,12.36,835.2,2.32,25.84,407.7,1.1326,15.79,365.0,1.0139,13.05,364.2,1.0118
33,3.3000000000000003,7.6,411.1,1.1419,1.31,411.5,1.1429,19.21,318.5,0.8846,9.45,844.6,2.3462,13.3,421.0,1.1696,8.75,373.7,1.0382,11.45,375.7,1.0436
34,3.4000000000000004,7.65,418.7,1.1631,14.29,425.7,1.1826,6.8,325.3,0.9035,9.99,854.6,2.374,12.21,433.3,1.2035,16.39,390.1,1.0837,6.46,382.2,1.0616
35,3.5,3.89,422.6,1.1739,13.56,439.3,1.2203,5.68,331.0,0.9193,13.91,868.5,2.4126,21.69,454.9,1.2637,12.76,402.9,1.1192,9.86,392.0,1.089
36,3.6,4.09,426.7,1.1853,4.16,443.5,1.2318,7.72,338.7,0.9407,19.89,888.4,2.4679,12.86,467.8,1.2995,12.89,415.8,1.155,15.09,407.1,1.1309
37,3.7,7.76,434.5,1.2069,15.56,459.0,1.2751,7.81,346.5,0.9624,26.84,915.3,2.5424,5.03,472.8,1.3134,16.6,432.4,1.2011,14.48,421.6,1.1711
38,3.8000000000000003,10.19,444.7,1.2352,9.7,468.7,1.302,4.63,351.1,0.9753,17.82,933.1,2.5919,7.06,479.9,1.3331,22.8,455.2,1.2644,14.51,436.1,1.2114
39,3.9000000000000004,11.81,456.5,1.268,7.08,475.8,1.3217,5.72,356.8,0.9912,34.25,967.3,2.687,6.71,486.6,1.3517,12.54,467.7,1.2992,5.2,441.3,1.2258
40,4.0,6.3,462.8,1.2855,5.83,481.6,1.3379,9.64,366.5,1.018,23.11,990.4,2.7512,16.21,502.8,1.3967,7.08,474.8,1.3189,14.62,455.9,1.2664
41,4.1000000000000005,14.01,476.8,1.3244,3.23,484.9,1.3468,25.49,392.0,1.0888,57.32,1047.8,2.9105,11.97,514.8,1.43,7.39,482.2,1.3394,4.54,460.5,1.279
42,4.2,16.47,493.3,1.3702,10.38,495.2,1.3757,11.82,403.8,1.1217,89.65,1137.4,3.1595,8.7,523.5,1.4541,14.03,496.2,1.3784,10.39,470.8,1.3079
43,4.3,7.02,500.3,1.3897,26.86,522.1,1.4503,14.89,418.7,1.163,12.28,1149.7,3.1936,9.95,533.4,1.4818,25.17,521.4,1.4483,15.84,486.7,1.3519
44,4.4,21.07,521.3,1.4482,43.25,565.3,1.5704,18.07,436.8,1.2132,18.39,1168.1,3.2447,11.99,545.4,1.5151,15.36,536.8,1.491,11.4,498.1,1.3836
45,4.5,7.32,528.7,1.4685,13.73,579.1,1.6086,13.6,450.4,1.251,41.23,1209.3,3.3592,18.7,564.1,1.567,4.2,541.0,1.5027,7.68,505.8,1.4049
