lipid,chain,carbon,n_h,scd_all,scd_upper,scd_lower
POPC,sn-1 (palmitoyl 16:0),2,2,0.2751,0.2565,0.3061
POPC,sn-1 (palmitoyl 16:0),3,2,0.2576,0.2374,0.2913
POPC,sn-1 (palmitoyl 16:0),4,2,0.2914,0.2713,0.3248
POPC,sn-1 (palmitoyl 16:0),5,2,0.3075,0.2818,0.3503
POPC,sn-1 (palmitoyl 16:0),6,2,0.3171,0.2944,0.3549
POPC,sn-1 (palmitoyl 16:0),7,2,0.3128,0.2918,0.3477
POPC,sn-1 (palmitoyl 16:0),8,2,0.3059,0.283,0.3442
POPC,sn-1 (palmitoyl 16:0),9,2,0.284,0.2575,0.3281
POPC,sn-1 (palmitoyl 16:0),10,2,0.2628,0.2405,0.2999
POPC,sn-1 (palmitoyl 16:0),11,2,0.2317,0.2077,0.2717
POPC,sn-1 (palmitoyl 16:0),12,2,0.2127,0.1926,0.2463
POPC,sn-1 (palmitoyl 16:0),13,2,0.1778,0.1583,0.2102
POPC,sn-1 (palmitoyl 16:0),14,2,0.1524,0.137,0.1781
POPC,sn-1 (palmitoyl 16:0),15,2,0.1106,0.1031,0.1232
POPC,sn-1 (palmitoyl 16:0),16,3,0.0316,0.0272,0.0389
POPC,sn-2 (oleoyl 18:1),2,2,0.1211,0.1161,0.1294
POPC,sn-2 (oleoyl 18:1),3,2,0.2593,0.2593,0.2594
POPC,sn-2 (oleoyl 18:1),4,2,0.2831,0.2826,0.2838
POPC,sn-2 (oleoyl 18:1),5,2,0.3062,0.3038,0.3102
POPC,sn-2 (oleoyl 18:1),6,2,0.2919,0.2849,0.3035
POPC,sn-2 (oleoyl 18:1),7,2,0.2823,0.2736,0.2968
POPC,sn-2 (oleoyl 18:1),8,2,0.1829,0.1714,0.202
POPC,sn-2 (oleoyl 18:1),9,1,0.1283,0.1228,0.1374
POPC,sn-2 (oleoyl 18:1),10,1,0.0789,0.0745,0.0861
POPC,sn-2 (oleoyl 18:1),11,2,0.1191,0.0961,0.1575
POPC,sn-2 (oleoyl 18:1),12,2,0.1874,0.1607,0.232
POPC,sn-2 (oleoyl 18:1),13,2,0.1965,0.1714,0.2384
POPC,sn-2 (oleoyl 18:1),14,2,0.2057,0.183,0.2435
POPC,sn-2 (oleoyl 18:1),15,2,0.183,0.1598,0.2216
POPC,sn-2 (oleoyl 18:1),16,2,0.1553,0.1323,0.1937
POPC,sn-2 (oleoyl 18:1),17,2,0.1142,0.0934,0.1489
POPC,sn-2 (oleoyl 18:1),18,3,0.0427,0.0335,0.0579
POPE,sn-1 (palmitoyl 16:0),2,2,0.2386,0.1749,0.2811
POPE,sn-1 (palmitoyl 16:0),3,2,0.2493,0.1906,0.2884
POPE,sn-1 (palmitoyl 16:0),4,2,0.2913,0.2415,0.3245
POPE,sn-1 (palmitoyl 16:0),5,2,0.3046,0.2543,0.3382
POPE,sn-1 (palmitoyl 16:0),6,2,0.3196,0.28,0.3459
POPE,sn-1 (palmitoyl 16:0),7,2,0.317,0.2827,0.3399
POPE,sn-1 (palmitoyl 16:0),8,2,0.3113,0.2739,0.3363
POPE,sn-1 (palmitoyl 16:0),9,2,0.2986,0.2624,0.3227
