Loading parameters
Using platform: HIP

Initial system energy
-2951642.5354888216 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
250.4%	626000	876.9999999900674	-2949606.1604888216	310.3466654056787	0	--
250.8%	627000	878.9999999900201	-2947487.6604888216	309.7683243255403	1.4	11:01:54
251.2%	628000	880.9999999899728	-2945954.4729888216	310.1483248127423	1.46	11:36:54
251.6%	629000	882.9999999899255	-2948839.5979888216	310.22674196225904	1.46	11:30:25
252.0%	630000	884.9999999898782	-2945849.9729888216	310.51858695617454	1.45	11:26:06
252.4%	631000	886.9999999898309	-2944563.8479888216	310.7589719708659	1.47	11:35:13
252.8%	632000	888.9999999897836	-2948087.7854888216	310.8748587097484	1.49	11:39:51
253.2%	633000	890.9999999897364	-2947222.8479888216	309.95945262913745	1.51	11:51:34
253.6%	634000	892.9999999896891	-2948164.8479888216	310.3470460730087	1.54	12:01:07
254.0%	635000	894.9999999896418	-2949113.1604888216	311.61623428801397	1.54	12:02:02
254.4%	636000	896.9999999895945	-2948617.8479888216	310.12194016528105	1.53	11:53:06
254.8%	637000	898.9999999895472	-2948209.2229888216	310.3344510662611	1.51	11:42:09
255.2%	638000	900.9999999894999	-2950264.7229888216	310.92215226121516	1.51	11:38:40
255.6%	639000	902.9999999894526	-2951213.2229888216	309.34484219972325	1.51	11:37:27
256.0%	640000	904.9999999894053	-2947926.5979888216	309.44242421446364	1.54	11:49:06
256.4%	641000	906.999999989358	-2949574.3479888216	309.8656789565908	1.56	11:59:21
256.8%	642000	908.9999999893107	-2946650.6604888216	309.2341569687177	1.58	12:05:31
257.2%	643000	910.9999999892634	-2946258.6604888216	309.87595133723744	1.59	12:07:41
257.6%	644000	912.9999999892161	-2944183.9729888216	310.5362689909321	1.6	12:10:21
258.0%	645000	914.9999999891688	-2947187.4104888216	310.2923531031098	1.61	12:11:22
258.4%	646000	916.9999999891215	-2949018.3479888216	309.77218120472344	1.62	12:14:06
